Name,Interceptions,Penalty committed,Errors lead to goal,Dribbled past,Total passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Aerial duels won %,Total duels won %,Appearances,Age Range,Position,League,Level,Goals,Headed goals,Tackles,Clearances,Big chances created,Accurate final third passes,Fouls,Successful dribbles %,Total shots,Set piece conversion %,Assists,Was fouled,Big chances missed
Brian Heras,0.0,0.0,0.0,0.0,0.2371,0.5452,0.4307999999999999,4.21,0.5,0.21,0.0,0.57,0.14,0.6667000000000001,0.8571,14.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Alexander Domínguez,0.0,0.0,0.0,0.0,0.23,0.7713,0.5385,3.41,0.52,0.15,0.07,0.52,0.07,1.0,1.0,27.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Rafael Romo,0.0,0.0,0.0,0.09,0.2465,0.746,0.4393,4.04,0.43,0.13,0.0,1.09,0.04,0.75,0.75,23.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Hernán Galíndez,0.0,0.0,0.0,0.04,0.2491,0.5759000000000001,0.3585,4.04,0.43,0.13,0.0,1.0,0.17,0.5,0.6,23.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Pedro Ortiz,0.0,0.0,0.0,0.03,0.21,0.6889,0.4146,3.37,0.47,0.27,0.03,0.8,0.13,1.0,0.8571,30.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Leodan Chalá,0.08,0.0,0.08,0.0,0.2725,0.4251,0.3488,3.92,0.17,0.33,0.08,1.33,0.17,0.5,0.8571,12.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Javier Burrai,0.0,0.0,0.0,0.0,0.25,0.76,0.496,2.91,0.36,0.14,0.0,0.95,0.05,1.0,1.0,22.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Hamilton Piedra,0.0,0.0,0.0,0.04,0.2460999999999999,0.5806,0.4054,3.29,0.36,0.21,0.04,0.89,0.29,1.0,0.8571,28.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Gonzalo Valle,0.07,0.04,0.0,0.0,0.3211,0.7864,0.474,3.5,0.21,0.29,0.04,1.39,0.11,0.6,0.7273000000000001,28.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Leonel Nazareno,0.04,0.0,0.0,0.04,0.2585,0.5521,0.3804,3.0,0.23,0.12,0.04,1.08,0.15,0.8889,0.9,26.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Moisés Ramírez,0.0,0.04,0.0,0.04,0.3091,0.8467,0.4865,1.78,0.43,0.22,0.0,0.78,0.04,1.0,0.8332999999999999,23.0,1.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Dennis Corozo,0.0,0.0,0.0,0.0,0.1737999999999999,0.5531,0.4244,2.62,0.46,0.15,0.0,1.23,0.08,0.5,0.6667000000000001,13.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Rolando David Silva,0.0,0.03,0.03,0.0,0.278,0.7086,0.4821,2.43,0.3,0.27,0.0,0.9,0.3,1.0,0.95,30.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Walter Hinostroza,0.0,0.04,0.0,0.08,0.2716,0.5788,0.4097,3.44,0.16,0.32,0.04,1.64,0.16,1.0,0.7143,25.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
David Cabezas,0.0,0.22,0.0,0.17,0.2133,0.4792,0.4097999999999999,2.5,0.22,0.5,0.06,1.39,0.06,0.7143,0.64,18.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Jorge Pinos,0.0,0.0,0.05,0.0,0.255,0.6667000000000001,0.4396,3.0,0.27,0.27,0.0,1.23,0.18,0.5,0.625,22.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Walter Chavez,0.0,0.07,0.0,0.04,0.2511,0.5832,0.3840999999999999,2.32,0.32,0.29,0.0,0.89,0.11,0.5714,0.6,28.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
José Luis Angulo,0.0,0.13,0.0,0.0,0.2281,0.5478999999999999,0.3303999999999999,2.94,0.19,0.25,0.0,1.38,0.19,0.75,0.7,16.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Đorđe Petrović,0.0,0.0,0.05,0.05,0.2532999999999999,0.6353,0.2889,4.05,0.33,0.57,0.19,1.14,0.14,1.0,0.875,21.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Andre Blake,0.03,0.0,0.0,0.05,0.2410999999999999,0.5953,0.3828,3.05,0.43,0.14,0.03,0.68,0.14,0.8889,0.8,37.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Brad Stuver,0.0,0.03,0.06,0.0,0.3271,0.732,0.392,3.32,0.24,0.24,0.06,1.35,0.06,1.0,0.8946999999999999,34.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Dayne St. Clair,0.0,0.0,0.09,0.06,0.2357999999999999,0.5797,0.3381,3.55,0.15,0.15,0.06,1.21,0.27,0.8181999999999999,0.7778,33.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Eloy Room,0.0,0.03,0.03,0.03,0.2285,0.6319,0.3403,3.09,0.26,0.12,0.0,1.03,0.18,1.0,0.8571,34.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Maarten Paes,0.0,0.03,0.0,0.0,0.2591,0.6515000000000001,0.2998,2.85,0.24,0.18,0.06,0.88,0.21,1.0,0.9,34.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Aljaž Ivačič,0.0,0.0,0.0,0.03,0.2322,0.5922,0.3356,3.5,0.19,0.06,0.03,1.28,0.28,0.9,0.8332999999999999,32.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Sean Johnson,0.0,0.0,0.05,0.0,0.3346,0.7464,0.3754999999999999,2.59,0.41,0.03,0.0,1.05,0.16,0.7143,0.8,37.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Steve Clark,0.0,0.06,0.0,0.06,0.3136,0.7575,0.4429,3.18,0.18,0.24,0.03,1.39,0.06,0.9091,0.7,33.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
James Pantemis,0.0,0.08,0.0,0.0,0.2077,0.8111,0.4167,2.08,0.38,0.15,0.0,1.08,0.08,1.0,0.8889,13.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Joe Willis,0.06,0.03,0.09,0.0,0.2452,0.6502,0.4482,3.09,0.27,0.24,0.06,1.0,0.18,1.0,0.9091,33.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Zac MacMath,0.03,0.03,0.14,0.03,0.3214,0.5164,0.3535999999999999,3.17,0.29,0.29,0.09,1.2,0.14,0.875,0.8125,35.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Roman Celentano,0.03,0.03,0.0,0.07,0.2152,0.5192,0.3535999999999999,3.31,0.17,0.24,0.07,1.21,0.31,1.0,0.6667000000000001,29.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Stefan Frei,0.0,0.0,0.04,0.04,0.2822,0.7402,0.504,3.15,0.19,0.26,0.04,1.19,0.22,1.0,0.75,27.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Drake Callender,0.0,0.0,0.08,0.08,0.2716,0.6539,0.3718999999999999,3.36,0.16,0.12,0.0,1.44,0.16,0.8,0.6667000000000001,25.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Gabriel Słonina,0.03,0.0,0.09,0.03,0.2481,0.6448,0.4468999999999999,2.56,0.38,0.16,0.0,1.25,0.16,0.8571,0.8332999999999999,32.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Kristijan Kahlina,0.06,0.03,0.1,0.03,0.3397,0.7094,0.415,3.16,0.23,0.13,0.0,1.29,0.26,0.9091,0.8234999999999999,31.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Alex Bono,0.04,0.04,0.04,0.0,0.295,0.6045,0.2827,3.58,0.13,0.08,0.0,1.42,0.33,0.9,0.8234999999999999,24.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Maxime Crépeau,0.06,0.0,0.03,0.0,0.2430999999999999,0.6629,0.4147999999999999,2.19,0.28,0.06,0.0,0.94,0.17,0.9091,0.875,36.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Thomas Hasal,0.06,0.0,0.0,0.0,0.1776,0.5297999999999999,0.3532,2.88,0.24,0.18,0.12,1.29,0.29,0.6667000000000001,0.7778,17.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
William Yarbrough,0.03,0.06,0.03,0.06,0.2385,0.7139,0.4249,3.0,0.26,0.29,0.03,1.38,0.21,1.0,0.7333,34.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Jonathan Bond,0.0,0.03,0.08,0.14,0.2994,0.7356,0.4163,2.72,0.22,0.19,0.03,1.33,0.17,1.0,0.7273000000000001,36.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
James Marcinkowski,0.03,0.0,0.03,0.12,0.26,0.6840999999999999,0.4013,3.39,0.12,0.18,0.0,1.64,0.36,0.8889,0.75,33.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Carlos Coronel,0.0,0.0,0.03,0.09,0.2432,0.4679999999999999,0.2871,2.26,0.24,0.06,0.0,1.03,0.18,1.0,0.85,34.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
John Pulskamp,0.0,0.08,0.08,0.0,0.2217,0.7068000000000001,0.376,2.75,0.25,0.25,0.08,1.33,0.17,0.6667000000000001,0.7143,12.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Pedro Gallese,0.0,0.0,0.03,0.03,0.2127,0.7479,0.4693,2.39,0.27,0.15,0.0,1.24,0.24,1.0,0.8332999999999999,33.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Rafael Romo,0.0,0.0,0.0,0.36,0.3643,0.698,0.3843,3.5,0.07,0.29,0.07,2.07,0.29,1.0,0.4545,14.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Rocco Rios Novo,0.0,0.0,0.0,0.0,0.3256,0.8695,0.5867,2.5,0.13,0.06,0.0,1.38,0.31,0.3333,0.6,16.0,1.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Sebastian Breza,0.09,0.04,0.04,0.0,0.2191,0.7659,0.4536,2.22,0.13,0.22,0.0,1.35,0.3,0.8571,0.8181999999999999,23.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Cody Cropper,0.0,0.07,0.0,0.07,0.1747,0.6297999999999999,0.411,1.87,0.27,0.2,0.0,1.4,0.2,0.75,0.5714,15.0,2.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Timothy Melia,0.05,0.0,0.05,0.05,0.2532999999999999,0.688,0.3926,2.14,0.19,0.14,0.05,1.52,0.1,1.0,0.75,21.0,3.0,1.0,EEUU MLS,4.0,,,,,,,,,,,,,
Kelle Roos,0.0,0.03,0.0,0.06,0.3254999999999999,0.5332,0.2883,3.39,0.42,0.29,0.06,1.13,0.16,1.0,0.8234999999999999,31.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Craig Gordon,0.06,0.06,0.06,0.0,0.2725,0.5459,0.2915,3.69,0.06,0.19,0.06,1.44,0.19,1.0,0.8181999999999999,16.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Sam Walker,0.0,0.0,0.0,0.0,0.2846,0.3827,0.3458,3.36,0.21,0.18,0.04,1.36,0.18,1.0,1.0,28.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Mark Birighitti,0.0,0.04,0.08,0.0,0.2696,0.4437,0.3373,3.54,0.15,0.15,0.0,1.42,0.15,1.0,0.9091,26.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Ross Laidlaw,0.0,0.0,0.0,0.03,0.2782,0.4598,0.377,3.29,0.24,0.18,0.0,1.26,0.32,1.0,0.9545,38.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Zander Clark,0.0,0.05,0.0,0.05,0.25,0.5371,0.292,2.71,0.24,0.19,0.0,1.14,0.14,1.0,0.8,21.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Liam Kelly,0.0,0.03,0.0,0.0,0.31,0.4600999999999999,0.3287,2.61,0.29,0.13,0.03,1.21,0.13,0.75,0.8,38.0,2.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Joe Hart,0.0,0.0,0.0,0.05,0.2546,0.897,0.4588,1.49,0.43,0.19,0.0,0.73,0.08,0.8571,0.7273000000000001,37.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Trevor Carson,0.05,0.0,0.0,0.0,0.2949,0.3813,0.3375999999999999,2.57,0.27,0.32,0.03,1.35,0.22,0.8332999999999999,0.9,37.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
David Marshall,0.03,0.05,0.05,0.0,0.2813,0.6567000000000001,0.4233,2.21,0.29,0.32,0.05,1.39,0.16,0.6667000000000001,0.7333,38.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Allan McGregor,0.04,0.0,0.0,0.08,0.2183,0.8378,0.4481,1.46,0.33,0.0,0.0,0.88,0.21,0.8332999999999999,0.7273000000000001,24.0,3.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Shamal George,0.0,0.0,0.0,0.03,0.3131,0.4411,0.3511999999999999,2.34,0.22,0.28,0.03,1.28,0.19,1.0,0.8667,32.0,2.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
Remi Matthews,0.0,0.0,0.03,0.06,0.2768,0.4175999999999999,0.2988,2.65,0.18,0.12,0.0,1.24,0.35,0.8571,0.7857,34.0,2.0,1.0,Escocia Premiership,3.0,,,,,,,,,,,,,
José Antonio Caro,0.0,0.0,0.05,0.05,0.3222,0.5503,0.4067,3.0,0.46,0.12,0.05,0.61,0.1,0.9231,0.8845999999999999,41.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Dani Cárdenas,0.03,0.0,0.0,0.0,0.2788,0.7089,0.4393,2.56,0.5,0.06,0.06,0.56,0.12,1.0,1.0,34.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Nicolas Ratti,0.0,0.0,0.05,0.0,0.4855,0.8908,0.5365,2.45,0.45,0.15,0.0,0.75,0.05,0.5,0.7143,20.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Aarón Escandell,0.0,0.0,0.03,0.0,0.2872,0.7465999999999999,0.4827,3.03,0.36,0.17,0.03,0.97,0.06,0.9,0.9444,36.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Andrés Fernández,0.0,0.0,0.0,0.0,0.2655,0.4761999999999999,0.3468,2.79,0.38,0.26,0.02,0.76,0.1,0.8,0.875,42.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Álvaro Valles,0.0,0.03,0.0,0.0,0.2821,0.7204999999999999,0.3881,2.24,0.56,0.06,0.0,0.59,0.09,0.7143,0.8571,34.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Filip Jörgensen,0.09,0.0,0.0,0.0,0.2736,0.7674,0.4144,2.73,0.36,0.09,0.0,0.82,0.18,0.6667000000000001,0.6667000000000001,11.0,1.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Quentin Braat,0.0,0.0,0.0,0.0,0.2512,0.4227,0.3495,2.38,0.42,0.08,0.0,0.58,0.12,0.9091,0.9333,26.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Cristian Álvarez,0.06,0.0,0.06,0.03,0.272,0.6429,0.4177,2.71,0.37,0.06,0.0,0.71,0.17,1.0,0.875,35.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Óscar Whalley,0.0,0.0,0.05,0.03,0.3116,0.5988,0.4376,3.34,0.29,0.24,0.05,1.26,0.08,1.0,0.8889,38.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Amir Abedzadeh,0.03,0.03,0.1,0.0,0.326,0.6493000000000001,0.4297999999999999,3.27,0.3,0.17,0.03,1.1,0.17,0.9333,0.9048,30.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Rubén Yáñez,0.03,0.0,0.03,0.0,0.2559,0.4757,0.2998,2.66,0.34,0.03,0.0,0.79,0.1,1.0,1.0,29.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Raúl Fernández,0.0,0.03,0.0,0.03,0.2365,0.6808,0.3641,2.26,0.48,0.1,0.0,0.52,0.1,1.0,0.8234999999999999,31.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Yoel Rodríguez,0.0,0.0,0.0,0.0,0.23,0.5968,0.4104,2.64,0.36,0.0,0.0,0.82,0.18,0.6667000000000001,0.8,11.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Iván Cuéllar,0.0,0.0,0.04,0.0,0.2632,0.6353,0.4135,2.48,0.28,0.28,0.04,0.84,0.16,0.6667000000000001,0.8,25.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Daniel Fuzato,0.08,0.0,0.03,0.0,0.2438,0.5942000000000001,0.3479,3.16,0.22,0.19,0.03,1.46,0.14,1.0,1.0,37.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Raúl Lizoain,0.13,0.06,0.06,0.13,0.4781,0.8026000000000001,0.4476,2.19,0.38,0.19,0.0,0.75,0.13,1.0,0.7692,16.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Antonio Sivera,0.0,0.02,0.0,0.02,0.2854,0.6726000000000001,0.4065999999999999,2.07,0.39,0.12,0.05,0.63,0.15,1.0,0.7692,41.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Luca Zidane,0.0,0.03,0.03,0.0,0.3051999999999999,0.6818000000000001,0.4543999999999999,2.29,0.45,0.1,0.0,0.71,0.1,1.0,0.9167,31.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Tomeu Nadal,0.0,0.0,0.0,0.0,0.2735,0.5677,0.4397999999999999,2.71,0.29,0.18,0.0,0.94,0.06,1.0,1.0,17.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Asier Riesgo,0.0,0.0,0.0,0.0,0.2176,0.6518,0.4203,2.06,0.39,0.12,0.03,0.79,0.12,0.8571,0.9167,33.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Diego Altube,0.0,0.0,0.0,0.08,0.2933,0.6193,0.4027,2.25,0.25,0.08,0.0,0.92,0.17,0.6667000000000001,0.6,12.0,1.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
André Ferreira,0.0,0.0,0.0,0.0,0.2327,0.5781000000000001,0.3558,1.36,0.45,0.09,0.09,0.55,0.27,1.0,1.0,11.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Bernabé Barragán,0.0,0.0,0.0,0.0,0.2467,0.5959,0.3495,2.53,0.27,0.27,0.0,1.03,0.1,0.8332999999999999,0.8571,30.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Juan Soriano,0.0,0.0,0.02,0.07,0.2607,0.6274000000000001,0.3951,2.0,0.33,0.12,0.0,0.74,0.14,0.9375,0.8,42.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Miquel Parera,0.0,0.0,0.0,0.0,0.2380999999999999,0.4993999999999999,0.3599,2.7,0.3,0.08,0.0,0.76,0.19,1.0,1.0,37.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Alfonso Herrero,0.0,0.0,0.03,0.03,0.2776,0.5589999999999999,0.3322,2.12,0.27,0.12,0.06,1.0,0.21,1.0,0.9,33.0,2.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Iker Álvarez,0.0,0.04,0.04,0.04,0.2448,0.762,0.4267,2.39,0.3,0.22,0.04,1.17,0.17,1.0,0.7778,23.0,1.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Manolo Reina,0.08,0.0,0.0,0.08,0.2738,0.7106999999999999,0.3704,1.92,0.15,0.23,0.0,1.31,0.08,0.5,0.5,13.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Diego Mariño,0.0,0.0,0.12,0.12,0.2559,0.6781999999999999,0.4422,2.29,0.24,0.0,0.0,1.06,0.12,0.75,0.625,17.0,3.0,1.0,España La Liga 2,2.0,,,,,,,,,,,,,
Benjamin Lecomte,0.0,0.0,0.0,0.11,0.2989,0.6004,0.3912,3.95,0.42,0.21,0.11,1.16,0.0,0.75,0.6364,19.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Yehvann Diouf,0.03,0.0,0.06,0.06,0.28,0.7637999999999999,0.4947999999999999,3.45,0.45,0.03,0.0,0.81,0.19,0.9444,0.9032,31.0,1.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Ionuț Radu,0.0,0.0,0.06,0.0,0.3129,0.5263,0.3549,3.29,0.29,0.12,0.12,1.0,0.18,1.0,1.0,17.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Gianluigi Donnarumma,0.0,0.03,0.08,0.03,0.2021,0.8398,0.3967,3.26,0.34,0.13,0.03,0.97,0.08,0.9091,0.8234999999999999,38.0,1.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Alban Lafont,0.0,0.03,0.05,0.03,0.2668,0.6464,0.3964999999999999,3.59,0.3,0.24,0.0,1.38,0.08,0.875,0.6875,37.0,1.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Kasper Schmeichel,0.03,0.0,0.0,0.08,0.2967,0.75,0.5136999999999999,2.97,0.31,0.14,0.03,0.81,0.17,1.0,0.625,36.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Maxime Dupé,0.0,0.03,0.0,0.0,0.2876,0.7521,0.4153,3.32,0.24,0.18,0.08,1.29,0.21,1.0,0.9375,38.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Vito Mannone,0.0,0.0,0.06,0.0,0.2678,0.7137,0.3365999999999999,3.39,0.28,0.06,0.0,1.06,0.28,1.0,1.0,18.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Pau López,0.0,0.06,0.03,0.03,0.2973,0.7604000000000001,0.436,2.79,0.3,0.15,0.0,0.88,0.15,0.8181999999999999,0.6875,33.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Brice Samba,0.0,0.0,0.03,0.03,0.2959,0.7297,0.4457,2.68,0.41,0.08,0.0,0.65,0.11,0.8181999999999999,0.8421,37.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Mory Diaw,0.05,0.0,0.03,0.11,0.3489,0.6685,0.4342,3.08,0.27,0.32,0.11,1.24,0.03,1.0,0.7778,37.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Alexander Nübel,0.03,0.0,0.05,0.03,0.2468,0.6940000000000001,0.4795,3.68,0.24,0.13,0.0,1.42,0.11,0.875,0.8181999999999999,38.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Marco Bizot,0.0,0.0,0.11,0.03,0.2519,0.6823999999999999,0.4385,3.38,0.22,0.24,0.05,1.35,0.11,0.8332999999999999,0.8181999999999999,37.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Steve Mandanda,0.0,0.06,0.06,0.06,0.3082,0.7195,0.4375,2.35,0.35,0.09,0.03,0.85,0.06,0.875,0.6667000000000001,34.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Lucas Chevalier,0.06,0.0,0.06,0.0,0.2766,0.7424,0.3343,2.44,0.31,0.09,0.03,0.88,0.09,1.0,1.0,32.0,1.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Anthony Lopes,0.09,0.06,0.0,0.09,0.2772,0.743,0.408,3.0,0.22,0.22,0.0,1.13,0.09,1.0,0.5882000000000001,32.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Jonas Omlin,0.0,0.0,0.07,0.0,0.2414,0.6509,0.3559,3.57,0.14,0.29,0.07,1.79,0.07,1.0,0.7778,14.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Matz Sels,0.11,0.0,0.0,0.0,0.2211,0.6012,0.3731,3.03,0.16,0.29,0.0,1.42,0.13,1.0,1.0,38.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Gauthier Gallon,0.07,0.03,0.0,0.07,0.268,0.6107,0.3114,3.8,0.0,0.17,0.0,1.8,0.37,1.0,0.875,30.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Yahia Fofana,0.09,0.0,0.09,0.0,0.2318,0.6196,0.3239,3.27,0.09,0.18,0.09,1.45,0.27,1.0,1.0,11.0,1.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Yvon Mvogo,0.1,0.0,0.14,0.0,0.2537999999999999,0.7148,0.4231,3.33,0.14,0.05,0.0,1.24,0.14,1.0,1.0,21.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Benoît Costil,0.0,0.0,0.0,0.11,0.2732,0.6647,0.4833,2.89,0.11,0.16,0.0,1.95,0.21,1.0,0.7143,19.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Paul Bernardoni,0.04,0.04,0.04,0.04,0.2,0.5832999999999999,0.3252,3.15,0.11,0.33,0.0,2.15,0.15,0.875,0.7143,27.0,2.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Benjamin Leroy,0.03,0.0,0.0,0.06,0.2475,0.5758,0.4136999999999999,2.34,0.13,0.28,0.0,1.53,0.34,1.0,0.75,32.0,3.0,1.0,Francia Liga 1,2.0,,,,,,,,,,,,,
Brice Maubleu,0.05,0.0,0.03,0.0,0.2597,0.5664,0.3478,3.32,0.39,0.18,0.05,0.87,0.08,0.9231,0.9412,38.0,3.0,1.0,Francia Liga 2,3.0,,,,,,,,,,,,,
Gautier Larsonneur,0.0,0.03,0.03,0.03,0.275,0.6344,0.3756,3.34,0.34,0.16,0.0,0.92,0.13,0.8824,0.8462000000000001,38.0,2.0,1.0,Francia Liga 2,3.0,,,,,,,,,,,,,
Vincent Demarconnay,0.0,0.0,0.0,0.0,0.3123,0.7670999999999999,0.4821,2.73,0.41,0.18,0.0,0.82,0.18,1.0,1.0,22.0,3.0,1.0,Francia Liga 2,3.0,,,,,,,,,,,,,
Alexandre Olliero,0.05,0.0,0.0,0.05,0.2725,0.6018,0.41,3.05,0.3,0.1,0.0,1.05,0.15,0.9231,0.8946999999999999,20.0,2.0,1.0,Francia Liga 2,3.0,,,,,,,,,,,,,
Maxence Prévot,0.0,0.03,0.08,0.0,0.2887,0.7829999999999999,0.419,3.16,0.32,0.21,0.03,1.03,0.05,1.0,0.9,38.0,2.0,1.0,Francia Liga 2,3.0,,,,,,,,,,,,,
